model,scheme,kind,k_bits,L_or_n,err_rate,err_se,avg_tokens,std_tokens,se_tokens,forced_frac
unsloth/mistral-7b-v0.3,BAM-K8-L2,BAM,8,2,0.278000,0.010018,24.7490,25.2373,0.5643,0.0005
unsloth/mistral-7b-v0.3,1PH-K8-L2,1PH,8,2,0.466500,0.011155,19.1605,9.3917,0.2100,0.0000
unsloth/mistral-7b-v0.3,BAM-K8-L4,BAM,8,4,0.148500,0.007951,29.7085,27.9724,0.6255,0.0005
unsloth/mistral-7b-v0.3,1PH-K8-L4,1PH,8,4,0.282000,0.010062,25.1615,12.2018,0.2728,0.0000
unsloth/mistral-7b-v0.3,BAM-K8-L8,BAM,8,8,0.065500,0.005532,34.3545,31.1417,0.6963,0.0005
unsloth/mistral-7b-v0.3,1PH-K8-L8,1PH,8,8,0.195500,0.008868,29.8615,14.7166,0.3291,0.0000
unsloth/mistral-7b-v0.3,BAM-K8-L16,BAM,8,16,0.035000,0.004109,37.4460,34.0906,0.7623,0.0005
unsloth/mistral-7b-v0.3,1PH-K8-L16,1PH,8,16,0.135500,0.007653,35.1615,17.8169,0.3984,0.0000
unsloth/mistral-7b-v0.3,BAM-K8-L32,BAM,8,32,0.018500,0.003013,39.7780,35.5065,0.7939,0.0005
unsloth/mistral-7b-v0.3,1PH-K8-L32,1PH,8,32,0.104500,0.006840,39.6100,19.9874,0.4469,0.0000
unsloth/mistral-7b-v0.3,BAM-K8-L64,BAM,8,64,0.011500,0.002384,41.6225,36.7333,0.8214,0.0005
unsloth/mistral-7b-v0.3,1PH-K8-L64,1PH,8,64,0.077000,0.005961,44.2840,22.1573,0.4955,0.0000
unsloth/mistral-7b-v0.3,BAM-K8-L128,BAM,8,128,0.010500,0.002279,43.0985,37.3469,0.8351,0.0005
unsloth/mistral-7b-v0.3,1PH-K8-L128,1PH,8,128,0.055500,0.005120,48.9740,25.7350,0.5755,0.0000
unsloth/mistral-7b-v0.3,BAM-K8-L512,BAM,8,512,0.006500,0.001797,46.1120,38.0284,0.8503,0.0005
unsloth/mistral-7b-v0.3,1PH-K8-L512,1PH,8,512,0.035500,0.004138,57.3770,29.6001,0.6619,0.0000
unsloth/mistral-7b-v0.3,BAM-K8-L2048,BAM,8,2048,0.004000,0.001411,50.1420,46.4024,1.0376,0.0005
unsloth/mistral-7b-v0.3,1PH-K8-L2048,1PH,8,2048,0.025500,0.003525,65.3205,32.6376,0.7298,0.0000
unsloth/mistral-7b-v0.3,BAM-K8-L8192,BAM,8,8192,0.004000,0.001411,53.0305,47.6533,1.0656,0.0010
unsloth/mistral-7b-v0.3,1PH-K8-L8192,1PH,8,8192,0.019000,0.003053,73.4285,35.4929,0.7936,0.0000
unsloth/mistral-7b-v0.3,FIX-K8-n20,FIX,8,20,0.503500,0.011180,20.0000,0.0000,0.0000,0.0000
unsloth/mistral-7b-v0.3,FIX-K8-n30,FIX,8,30,0.337500,0.010573,30.0000,0.0000,0.0000,0.0000
unsloth/mistral-7b-v0.3,FIX-K8-n40,FIX,8,40,0.225500,0.009345,40.0000,0.0000,0.0000,0.0000
unsloth/mistral-7b-v0.3,FIX-K8-n50,FIX,8,50,0.176500,0.008525,50.0000,0.0000,0.0000,0.0000
unsloth/mistral-7b-v0.3,FIX-K8-n60,FIX,8,60,0.132500,0.007581,60.0000,0.0000,0.0000,0.0000
unsloth/mistral-7b-v0.3,FL-K8-n20,FL,8,20,0.561500,0.011095,20.0000,0.0000,0.0000,0.0000
unsloth/mistral-7b-v0.3,FL-K8-n30,FL,8,30,0.394500,0.010929,30.0000,0.0000,0.0000,0.0000
unsloth/mistral-7b-v0.3,FL-K8-n40,FL,8,40,0.257500,0.009777,40.0000,0.0000,0.0000,0.0000
unsloth/mistral-7b-v0.3,FL-K8-n50,FL,8,50,0.200000,0.008944,50.0000,0.0000,0.0000,0.0000
unsloth/mistral-7b-v0.3,FL-K8-n60,FL,8,60,0.115500,0.007147,60.0000,0.0000,0.0000,0.0000
