model,scheme,n_packets,k_pkt,L,err_rate,err_se,avg_tokens,std_tokens,se_tokens,enc_ms,enc_ms_std,enc_ms_se,gen_ms,gen_ms_std,gen_ms_se,dec_ms,dec_ms_std,dec_ms_se,total_ms,forced_frac
unsloth/Meta-Llama-3.1-8B,1x24,1,24,4,0.107000,0.009775,75.2240,45.2120,1.4297,7.3324,0.7563,0.0239,19.7331,0.1019,0.0032,6.5657,0.3168,0.0100,33.6311,0.0010
unsloth/Meta-Llama-3.1-8B,2x12,2,12,4,0.159000,0.011564,75.2740,29.3434,0.9279,7.3160,0.7750,0.0245,19.7986,0.0864,0.0027,0.2497,0.0126,0.0004,27.3643,0.0000
unsloth/Meta-Llama-3.1-8B,3x8,3,8,4,0.194000,0.012505,75.4540,24.9772,0.7898,7.3138,0.9988,0.0316,19.6277,0.1832,0.0058,0.1393,0.0066,0.0002,27.0808,0.0000
unsloth/Meta-Llama-3.1-8B,1x24,1,24,64,0.017000,0.004088,85.9530,61.5009,1.9448,7.3546,0.7443,0.0235,19.8085,0.0897,0.0028,6.0395,0.4476,0.0142,33.2025,0.0020
unsloth/Meta-Llama-3.1-8B,2x12,2,12,64,0.024000,0.004840,96.8810,71.5851,2.2637,7.2774,0.7823,0.0247,19.8141,0.0831,0.0026,0.2240,0.0166,0.0005,27.3155,0.0020
unsloth/Meta-Llama-3.1-8B,3x8,3,8,64,0.035000,0.005812,102.7300,72.7710,2.3012,7.1645,0.7887,0.0249,19.1863,0.3085,0.0098,0.1190,0.0086,0.0003,26.4698,0.0040
unsloth/Meta-Llama-3.1-8B,1x24,1,24,2048,0.011000,0.003298,95.4250,81.4764,2.5765,7.1649,0.7168,0.0227,18.9357,0.0614,0.0019,5.5781,0.5194,0.0164,31.6787,0.0020
unsloth/Meta-Llama-3.1-8B,2x12,2,12,2048,0.016000,0.003968,111.8530,84.1085,2.6597,7.0770,0.7313,0.0231,18.9532,0.0662,0.0021,0.1921,0.0174,0.0006,26.2223,0.0030
unsloth/Meta-Llama-3.1-8B,3x8,3,8,2048,0.020000,0.004427,124.3960,81.1374,2.5658,7.1491,0.8646,0.0273,19.1517,0.1201,0.0038,0.1108,0.0097,0.0003,26.4116,0.0030
unsloth/Meta-Llama-3.1-8B,1x24,1,24,32768,0.007000,0.002636,100.9640,83.5541,2.6422,7.6987,1.6717,0.0529,19.3045,0.2184,0.0069,5.2918,0.5688,0.0180,32.2950,0.0030
unsloth/Meta-Llama-3.1-8B,2x12,2,12,32768,0.010000,0.003146,117.8400,73.9971,2.3400,7.5309,1.4176,0.0448,19.4290,0.2088,0.0066,0.2073,0.0198,0.0006,27.1672,0.0020
unsloth/Meta-Llama-3.1-8B,3x8,3,8,32768,0.021000,0.004534,140.1220,86.2322,2.7269,7.4920,1.5384,0.0486,19.3539,0.2851,0.0090,0.1237,0.0112,0.0004,26.9697,0.0030
