model,scheme,kind,msg_err_rate,bit_err_rate,avg_tokens,std_tokens,se_tokens,ppl_wm_mean,ppl_wm_std,ppl_wm_se,ppl_base_mean,ppl_base_std,ppl_base_se,ppl_delta,dist2_wm,dist3_wm,dist4_wm,dist2_base,dist3_base,dist4_base,sec_per_token,sec_per_token_se,decode_sec,base_sec_per_token,base_sec_per_token_se
unsloth/Meta-Llama-3.1-8B,BAM-L2,BAM,0.189000,0.058250,21.6160,10.1245,0.3202,8.7158,5.3618,0.1696,8.5089,5.3724,0.1699,0.2069,0.9914,0.9971,0.9987,0.9909,0.9964,0.9980,0.038315,0.000179,0.000000,0.023640,0.000071
unsloth/Meta-Llama-3.1-8B,BAM-L4,BAM,0.084000,0.027125,25.0400,13.6066,0.4303,8.6870,5.1611,0.1632,8.5638,5.6572,0.1789,0.1231,0.9889,0.9960,0.9981,0.9887,0.9957,0.9980,0.038175,0.000170,0.000000,0.023274,0.000060
unsloth/Meta-Llama-3.1-8B,BAM-L8,BAM,0.046000,0.015125,27.8410,15.5865,0.4929,8.6110,5.0193,0.1587,8.2068,4.9297,0.1559,0.4042,0.9862,0.9942,0.9967,0.9847,0.9936,0.9968,0.037442,0.000145,0.000000,0.023008,0.000052
unsloth/Meta-Llama-3.1-8B,BAM-L16,BAM,0.026000,0.008375,30.0340,18.1845,0.5750,8.5542,4.8890,0.1546,7.8978,4.2832,0.1354,0.6564,0.9841,0.9929,0.9956,0.9823,0.9915,0.9946,0.036663,0.000142,0.000000,0.023192,0.000045
unsloth/Meta-Llama-3.1-8B,BAM-L32,BAM,0.019000,0.006500,31.7390,20.3808,0.6445,8.5149,4.7977,0.1517,7.9660,4.3678,0.1381,0.5488,0.9826,0.9918,0.9946,0.9785,0.9900,0.9939,0.037722,0.000142,0.000000,0.023100,0.000046
unsloth/Meta-Llama-3.1-8B,BAM-L64,BAM,0.014000,0.004875,34.2080,32.6098,1.0312,8.3638,4.5390,0.1435,7.8137,4.0331,0.1275,0.5502,0.9804,0.9903,0.9933,0.9807,0.9912,0.9946,0.038182,0.000140,0.000000,0.023129,0.000047
unsloth/Meta-Llama-3.1-8B,BAM-L128,BAM,0.009000,0.003250,35.7420,34.6034,1.0943,8.3130,4.4878,0.1419,7.9104,4.0059,0.1267,0.4027,0.9794,0.9898,0.9930,0.9814,0.9912,0.9946,0.037677,0.000135,0.000000,0.022823,0.000039
unsloth/Meta-Llama-3.1-8B,BAM-L512,BAM,0.006000,0.002500,38.7240,36.9855,1.1696,8.2028,4.2879,0.1356,7.9671,4.1972,0.1327,0.2357,0.9772,0.9887,0.9923,0.9790,0.9903,0.9939,0.037158,0.000129,0.000000,0.022605,0.000034
unsloth/Meta-Llama-3.1-8B,BAM-L2048,BAM,0.004000,0.001125,41.6690,43.0213,1.3605,8.0833,4.0863,0.1292,7.7573,4.0858,0.1292,0.3260,0.9739,0.9864,0.9907,0.9734,0.9872,0.9922,0.037181,0.000134,0.000000,0.022631,0.000038
unsloth/Meta-Llama-3.1-8B,BAM-L8192,BAM,0.003000,0.000875,44.1720,43.1616,1.3649,7.9929,3.9005,0.1233,8.0383,3.8376,0.1214,-0.0453,0.9715,0.9851,0.9898,0.9754,0.9885,0.9929,0.038233,0.000118,0.000000,0.022802,0.000035
unsloth/Meta-Llama-3.1-8B,BAM-L32768,BAM,0.001000,0.000250,47.0520,46.0742,1.4570,7.8928,3.6872,0.1166,7.7122,3.7916,0.1199,0.1805,0.9696,0.9840,0.9889,0.9712,0.9866,0.9915,0.037786,0.000101,0.000000,0.022391,0.000031
unsloth/Meta-Llama-3.1-8B,BAM-L131072,BAM,0.001000,0.000250,49.5630,46.3626,1.4661,7.8533,3.6269,0.1147,7.7057,3.7435,0.1184,0.1477,0.9681,0.9831,0.9881,0.9714,0.9869,0.9924,0.036107,0.000120,0.000000,0.022053,0.000026
unsloth/Meta-Llama-3.1-8B,FL n=20,FL,0.444000,0.224625,20.0000,0.0000,0.0000,8.2222,5.4975,0.1738,8.2214,4.8474,0.1533,0.0008,0.9929,0.9982,0.9992,0.9945,0.9980,0.9991,0.029434,0.000057,0.014664,0.022172,0.000007
unsloth/Meta-Llama-3.1-8B,FL n=30,FL,0.288000,0.145250,30.0000,0.0000,0.0000,7.8603,4.1029,0.1297,7.9305,4.2519,0.1345,-0.0702,0.9838,0.9930,0.9963,0.9851,0.9941,0.9968,0.029030,0.000035,0.021693,0.021763,0.000005
unsloth/Meta-Llama-3.1-8B,FL n=40,FL,0.143000,0.070625,40.0000,0.0000,0.0000,7.8150,3.8836,0.1228,7.6400,3.5329,0.1117,0.1749,0.9746,0.9884,0.9934,0.9774,0.9907,0.9953,0.029241,0.000032,0.028693,0.021730,0.000003
unsloth/Meta-Llama-3.1-8B,FL n=50,FL,0.106000,0.054250,50.0000,0.0000,0.0000,7.5156,3.3755,0.1067,7.6639,3.4432,0.1089,-0.1482,0.9716,0.9884,0.9938,0.9691,0.9864,0.9916,0.029082,0.000031,0.035746,0.021448,0.000004
unsloth/Meta-Llama-3.1-8B,FL n=60,FL,0.070000,0.035000,60.0000,0.0000,0.0000,7.3287,3.2113,0.1015,7.4948,3.1688,0.1002,-0.1660,0.9618,0.9817,0.9883,0.9629,0.9829,0.9902,0.029169,0.000033,0.042772,0.021292,0.000002
unsloth/Meta-Llama-3.1-8B,MPAC n=20,MPAC,0.937000,0.340125,20.0000,0.0000,0.0000,9.1379,5.0371,0.1593,8.3041,5.1590,0.1631,0.8338,0.9935,0.9977,0.9987,0.9929,0.9968,0.9981,0.022136,0.000056,0.010746,0.022455,0.000003
unsloth/Meta-Llama-3.1-8B,MPAC n=30,MPAC,0.913000,0.298750,30.0000,0.0000,0.0000,8.7963,4.4182,0.1397,7.6659,3.8577,0.1220,1.1304,0.9840,0.9931,0.9960,0.9847,0.9934,0.9962,0.021779,0.000006,0.014929,0.021820,0.000006
unsloth/Meta-Llama-3.1-8B,MPAC n=40,MPAC,0.875000,0.265750,40.0000,0.0000,0.0000,8.8332,4.4919,0.1420,7.5633,3.4918,0.1104,1.2699,0.9781,0.9910,0.9954,0.9760,0.9894,0.9941,0.021628,0.000008,0.019443,0.021506,0.000002
unsloth/Meta-Llama-3.1-8B,MPAC n=50,MPAC,0.845000,0.245750,50.0000,0.0000,0.0000,8.5468,3.6005,0.1139,7.5400,3.4956,0.1105,1.0069,0.9692,0.9859,0.9917,0.9669,0.9846,0.9907,0.021703,0.000006,0.024108,0.021493,0.000006
unsloth/Meta-Llama-3.1-8B,MPAC n=60,MPAC,0.811000,0.230125,60.0000,0.0000,0.0000,8.4717,3.5849,0.1134,7.5426,3.3720,0.1066,0.9291,0.9637,0.9833,0.9898,0.9606,0.9816,0.9887,0.021780,0.000006,0.028758,0.021513,0.000006
unsloth/Meta-Llama-3.1-8B,BiMark n=20,BIMARK,0.960000,0.310125,20.0000,0.0000,0.0000,8.8200,5.6635,0.1791,8.0534,4.7007,0.1486,0.7666,0.9935,0.9980,0.9992,0.9925,0.9978,0.9993,0.033554,0.000003,0.012560,0.022070,0.000002
unsloth/Meta-Llama-3.1-8B,BiMark n=30,BIMARK,0.849000,0.206750,30.0000,0.0000,0.0000,8.1730,4.2038,0.1329,7.8564,4.2048,0.1330,0.3167,0.9804,0.9906,0.9938,0.9854,0.9941,0.9968,0.033980,0.000003,0.013270,0.021694,0.000002
unsloth/Meta-Llama-3.1-8B,BiMark n=40,BIMARK,0.691000,0.142875,40.0000,0.0000,0.0000,7.9377,3.9731,0.1256,7.8343,4.0728,0.1288,0.1034,0.9748,0.9880,0.9928,0.9767,0.9898,0.9941,0.034340,0.000009,0.013951,0.021627,0.000006
unsloth/Meta-Llama-3.1-8B,BiMark n=50,BIMARK,0.563000,0.108125,50.0000,0.0000,0.0000,7.6746,3.4123,0.1079,7.6571,3.3294,0.1053,0.0175,0.9643,0.9802,0.9865,0.9706,0.9875,0.9928,0.034296,0.000003,0.014622,0.021391,0.000002
unsloth/Meta-Llama-3.1-8B,BiMark n=60,BIMARK,0.502000,0.087375,60.0000,0.0000,0.0000,7.7900,3.4642,0.1095,7.3949,3.2279,0.1021,0.3951,0.9583,0.9783,0.9855,0.9608,0.9818,0.9888,0.034374,0.000003,0.015309,0.021312,0.000002
unsloth/Meta-Llama-3.1-8B,StealthInk n=20,STEALTHINK,0.895000,0.248312,20.0000,0.0000,0.0000,8.2857,4.8916,0.1547,8.2378,4.7309,0.1496,0.0480,0.9926,0.9972,0.9984,0.9931,0.9984,0.9995,0.023401,0.000044,0.023084,0.022544,0.000004
unsloth/Meta-Llama-3.1-8B,StealthInk n=30,STEALTHINK,0.814000,0.196750,30.0000,0.0000,0.0000,8.0021,4.0986,0.1296,7.8782,4.0490,0.1280,0.1239,0.9842,0.9933,0.9966,0.9844,0.9935,0.9960,0.023437,0.000049,0.035998,0.021929,0.000007
unsloth/Meta-Llama-3.1-8B,StealthInk n=40,STEALTHINK,0.735000,0.154875,40.0000,0.0000,0.0000,7.6702,3.8415,0.1215,7.7322,3.5217,0.1114,-0.0620,0.9795,0.9914,0.9956,0.9781,0.9914,0.9958,0.024217,0.000050,0.049045,0.021812,0.000004
unsloth/Meta-Llama-3.1-8B,StealthInk n=50,STEALTHINK,0.637000,0.127375,50.0000,0.0000,0.0000,7.6614,3.4115,0.1079,7.5990,3.3394,0.1056,0.0624,0.9694,0.9869,0.9923,0.9683,0.9858,0.9916,0.023121,0.000035,0.061551,0.021570,0.000004
unsloth/Meta-Llama-3.1-8B,StealthInk n=60,STEALTHINK,0.568000,0.105813,60.0000,0.0000,0.0000,7.6459,3.5135,0.1111,7.4626,3.5855,0.1134,0.1833,0.9619,0.9829,0.9901,0.9633,0.9840,0.9909,0.022451,0.000013,0.073987,0.021305,0.000004
