model,scheme,kind,msg_err_rate,bit_err_rate,avg_tokens,std_tokens,se_tokens,ppl_wm_mean,ppl_wm_std,ppl_wm_se,ppl_base_mean,ppl_base_std,ppl_base_se,ppl_delta,dist2_wm,dist3_wm,dist4_wm,dist2_base,dist3_base,dist4_base,sec_per_token,sec_per_token_se,decode_sec,base_sec_per_token,base_sec_per_token_se
unsloth/mistral-7b-v0.3,BAM-L2,BAM,0.285000,0.090625,24.6970,12.5089,0.3956,6.8903,4.2897,0.1357,6.7110,4.1837,0.1323,0.1793,0.9853,0.9957,0.9984,0.9851,0.9944,0.9973,0.032249,0.000084,0.000000,0.023275,0.000065
unsloth/mistral-7b-v0.3,BAM-L4,BAM,0.147000,0.046250,30.1720,17.8361,0.5640,6.8031,3.9457,0.1248,6.6617,3.8057,0.1203,0.1413,0.9802,0.9928,0.9969,0.9804,0.9925,0.9963,0.032591,0.000094,0.000000,0.023033,0.000058
unsloth/mistral-7b-v0.3,BAM-L8,BAM,0.065000,0.020125,34.5150,22.0731,0.6980,6.7572,3.6897,0.1167,6.5164,3.7075,0.1172,0.2408,0.9761,0.9906,0.9952,0.9765,0.9910,0.9953,0.031989,0.000084,0.000000,0.022686,0.000047
unsloth/mistral-7b-v0.3,BAM-L16,BAM,0.027000,0.008500,37.8150,26.7838,0.8470,6.7058,3.5305,0.1116,6.4127,3.5635,0.1127,0.2931,0.9725,0.9890,0.9944,0.9735,0.9892,0.9947,0.032413,0.000086,0.000000,0.022694,0.000047
unsloth/mistral-7b-v0.3,BAM-L32,BAM,0.020000,0.006375,39.5350,27.7438,0.8773,6.6989,3.4621,0.1095,6.3349,3.1527,0.0997,0.3641,0.9706,0.9877,0.9935,0.9699,0.9872,0.9934,0.032282,0.000087,0.000000,0.022433,0.000041
unsloth/mistral-7b-v0.3,BAM-L64,BAM,0.010000,0.004000,41.8140,32.0359,1.0131,6.6886,3.3746,0.1067,6.3134,3.4460,0.1090,0.3752,0.9689,0.9868,0.9929,0.9696,0.9876,0.9938,0.032235,0.000084,0.000000,0.022426,0.000043
unsloth/mistral-7b-v0.3,BAM-L128,BAM,0.006000,0.002125,43.5270,35.1472,1.1115,6.6544,3.3080,0.1046,6.4931,3.4465,0.1090,0.1613,0.9680,0.9864,0.9927,0.9703,0.9876,0.9929,0.032141,0.000083,0.000000,0.022496,0.000035
unsloth/mistral-7b-v0.3,BAM-L512,BAM,0.002000,0.000500,46.7110,36.7716,1.1628,6.5648,3.1283,0.0989,6.3868,3.0446,0.0963,0.1779,0.9655,0.9851,0.9921,0.9662,0.9849,0.9913,0.032347,0.000086,0.000000,0.022306,0.000035
unsloth/mistral-7b-v0.3,BAM-L2048,BAM,0.000000,0.000000,49.6710,37.5687,1.1880,6.5095,2.9992,0.0948,6.2224,3.0055,0.0950,0.2872,0.9630,0.9839,0.9914,0.9598,0.9813,0.9894,0.032615,0.000092,0.000000,0.022204,0.000032
unsloth/mistral-7b-v0.3,BAM-L8192,BAM,0.000000,0.000000,52.2400,37.7423,1.1935,6.4647,2.9334,0.0928,6.2278,2.7881,0.0882,0.2369,0.9613,0.9831,0.9910,0.9615,0.9837,0.9910,0.032788,0.000086,0.000000,0.022130,0.000026
