model,scheme,kind,msg_err_rate,bit_err_rate,avg_tokens,std_tokens,se_tokens,ppl_wm_mean,ppl_wm_std,ppl_wm_se,ppl_base_mean,ppl_base_std,ppl_base_se,ppl_delta,dist2_wm,dist3_wm,dist4_wm,dist2_base,dist3_base,dist4_base,sec_per_token,sec_per_token_se,decode_sec,base_sec_per_token,base_sec_per_token_se
unsloth/Qwen3.5-9B-Base,BAM-L2,BAM,0.185000,0.058125,21.3130,9.5149,0.3009,8.8263,5.4047,0.1709,9.0576,5.7574,0.1821,-0.2313,0.9890,0.9974,0.9989,0.9910,0.9973,0.9987,0.061155,0.000179,0.000000,0.049671,0.000150
unsloth/Qwen3.5-9B-Base,BAM-L4,BAM,0.088000,0.027250,24.2790,11.9073,0.3765,8.7454,5.1289,0.1622,8.9760,5.3921,0.1705,-0.2307,0.9859,0.9960,0.9980,0.9885,0.9973,0.9989,0.059800,0.000167,0.000000,0.048446,0.000129
unsloth/Qwen3.5-9B-Base,BAM-L8,BAM,0.043000,0.014750,27.2750,17.7789,0.5622,8.7109,4.9663,0.1570,8.6883,4.9318,0.1560,0.0227,0.9820,0.9935,0.9961,0.9843,0.9947,0.9974,0.058903,0.000153,0.000000,0.047734,0.000118
unsloth/Qwen3.5-9B-Base,BAM-L16,BAM,0.019000,0.007875,29.4520,19.3770,0.6128,8.6914,4.9513,0.1566,8.6239,4.8631,0.1538,0.0674,0.9806,0.9926,0.9956,0.9816,0.9935,0.9966,0.058652,0.000142,0.000000,0.047301,0.000110
unsloth/Qwen3.5-9B-Base,BAM-L32,BAM,0.014000,0.005000,31.1150,21.7335,0.6873,8.6586,4.8345,0.1529,8.4174,4.6210,0.1461,0.2412,0.9796,0.9920,0.9952,0.9808,0.9936,0.9967,0.057916,0.000137,0.000000,0.046952,0.000098
unsloth/Qwen3.5-9B-Base,BAM-L64,BAM,0.010000,0.003750,32.9430,25.3929,0.8030,8.5918,4.6661,0.1476,8.7253,4.9723,0.1572,-0.1335,0.9785,0.9915,0.9949,0.9792,0.9921,0.9956,0.057555,0.000138,0.000000,0.046473,0.000089
unsloth/Qwen3.5-9B-Base,BAM-L128,BAM,0.007000,0.002500,34.7700,29.8660,0.9444,8.5504,4.5212,0.1430,8.4612,4.4338,0.1402,0.0891,0.9774,0.9911,0.9947,0.9780,0.9921,0.9961,0.057489,0.000127,0.000000,0.046397,0.000085
unsloth/Qwen3.5-9B-Base,BAM-L512,BAM,0.003000,0.001250,37.4020,31.3642,0.9918,8.4583,4.3521,0.1376,8.4168,4.5728,0.1446,0.0414,0.9759,0.9904,0.9944,0.9759,0.9905,0.9949,0.056280,0.000117,0.000000,0.045704,0.000080
unsloth/Qwen3.5-9B-Base,BAM-L2048,BAM,0.001000,0.000750,41.0210,40.1469,1.2696,8.4125,4.1787,0.1321,8.1020,4.2340,0.1339,0.3105,0.9738,0.9895,0.9938,0.9726,0.9901,0.9949,0.054892,0.000115,0.000000,0.044290,0.000072
unsloth/Qwen3.5-9B-Base,BAM-L8192,BAM,0.001000,0.000750,43.3930,40.3322,1.2754,8.3141,4.0416,0.1278,8.4404,4.1220,0.1304,-0.1263,0.9718,0.9887,0.9935,0.9704,0.9891,0.9940,0.054042,0.000101,0.000000,0.043872,0.000062
unsloth/Qwen3.5-9B-Base,BAM-L32768,BAM,0.001000,0.000750,45.7840,40.7561,1.2888,8.2391,3.9152,0.1238,8.2138,4.0731,0.1288,0.0252,0.9693,0.9875,0.9926,0.9700,0.9893,0.9947,0.054062,0.000098,0.000000,0.043598,0.000057
