model,task,conv,max_turn_tokens,avg_payloads_per_dialogue,se_avg_payloads,bits_per_token,se_bits_per_token,dialogue_err_rate,se_dialogue_err_rate,efficiency,se_efficiency,dialogues_with_error,n_dialogues,filler_turns,filler_tokens_total,correct,errors,err_rate,se_err_rate,wm_tokens_total,pad_tokens_total,coded_bits_correct,avg_wm_turn_len,avg_entropy_bits,perplexity_wm,perplexity_baseline
llama8b,tictactoe,chat,90,7.2700,0.1879,0.060739,0.001085,0.0500,0.0219,0.8864,0.0099,5,100,121,3813,722,5,0.006878,0.002870,29759,0,1807.5411,33.6536,1.8782,3.3726,3.4502
llama8b,tictactoe,debate,300,9.8400,0.0526,0.023998,0.000378,0.0100,0.0100,0.9956,0.0017,1,100,7,448,983,1,0.001016,0.001000,100918,0,2421.8372,101.6303,1.7432,3.1248,3.1456
llama8b,chess,chat,90,5.2000,0.1729,0.090287,0.002261,0.0200,0.0141,0.7933,0.0089,2,100,224,6634,518,2,0.003846,0.003186,25455,0,2298.2589,32.5609,1.9374,3.5111,3.6374
llama8b,chess,debate,300,9.3800,0.1013,0.043377,0.000717,0.0100,0.0100,0.9833,0.0035,1,100,27,1663,937,1,0.001066,0.001111,98009,0,4251.2923,100.4928,1.7590,3.1604,3.1687
llama8b,go19,chat,90,2.6400,0.0882,0.103011,0.002946,0.0600,0.0239,0.6525,0.0062,6,100,351,11326,258,6,0.022727,0.010574,21269,0,2190.9368,32.6655,1.9190,3.4244,3.5183
llama8b,go19,debate,300,7.5700,0.1810,0.072322,0.001341,0.0500,0.0219,0.9256,0.0071,5,100,112,7085,752,5,0.006605,0.003125,88193,0,6378.2751,98.6404,1.7598,3.1357,3.1839
phi4-14b,tictactoe,chat,90,9.3300,0.1164,0.039398,0.000757,0.0200,0.0141,0.9808,0.0050,2,100,30,1136,931,2,0.002144,0.001593,58115,0,2289.6169,59.5686,2.0209,3.6877,3.8037
phi4-14b,tictactoe,debate,300,9.9800,0.0200,0.011149,0.000246,0.0000,0.0000,0.9997,0.0004,0,100,1,64,998,0,0.000000,0.000000,220495,0,2458.3837,220.6476,1.9007,3.5541,3.5746
phi4-14b,chess,chat,90,8.3500,0.1684,0.066562,0.001030,0.0200,0.0141,0.9525,0.0065,2,100,74,2811,833,2,0.002395,0.001664,56427,0,3755.8777,60.4281,2.0381,3.7274,3.8122
phi4-14b,chess,debate,300,10.0000,0.0000,0.021039,0.000353,0.0000,0.0000,1.0000,0.0000,0,100,0,0,1000,0,0.000000,0.000000,216182,0,4548.1555,216.1820,1.8748,3.5028,3.5092
phi4-14b,go19,chat,90,5.5400,0.2105,0.102765,0.002206,0.0700,0.0256,0.8489,0.0097,7,100,207,8037,547,7,0.012635,0.005767,45165,0,4641.3739,56.1105,2.0470,3.7236,3.8402
phi4-14b,go19,debate,300,9.9400,0.0343,0.038929,0.000748,0.0100,0.0100,0.9991,0.0007,1,100,3,192,993,1,0.001006,0.001000,216249,0,8418.4467,216.8504,1.8977,3.5281,3.5744
qwen30b,tictactoe,chat,90,5.2600,0.2073,0.043388,0.000956,0.1900,0.0394,0.7953,0.0107,19,100,223,7936,506,20,0.038023,0.009052,30829,0,1337.5992,39.3419,1.1575,2.1607,2.1382
qwen30b,tictactoe,debate,300,9.2600,0.1160,0.019146,0.000250,0.0600,0.0239,0.9814,0.0033,6,100,35,2240,920,6,0.006479,0.002387,118505,0,2268.9490,122.5788,1.1277,2.1234,2.1169
qwen30b,chess,chat,90,3.2500,0.1445,0.047764,0.001689,0.2000,0.0402,0.7094,0.0081,20,100,318,11331,302,23,0.070769,0.019700,27656,0,1320.9498,40.2063,1.1443,2.1430,2.2074
qwen30b,chess,debate,300,8.0900,0.1770,0.032081,0.000458,0.0600,0.0239,0.9514,0.0057,6,100,90,5760,802,7,0.008653,0.003595,112658,0,3614.1855,123.1792,1.1410,2.1326,2.1385
qwen30b,go19,chat,90,1.6000,0.0651,0.047011,0.003002,0.2200,0.0456,0.6256,0.0034,22,100,393,13952,145,15,0.093750,0.040580,23308,0,1095.7211,38.3595,1.1522,2.1694,2.1808
qwen30b,go19,debate,300,4.5000,0.1867,0.043327,0.001139,0.1200,0.0327,0.8365,0.0070,12,100,262,16768,438,12,0.026667,0.008423,85799,0,3717.4280,115.5726,1.1163,2.1077,2.1107
